TABLE_NAME                                                                                                                      ,COLUMN_NAME                                                                                                                     ,DATA_TYPE                                                                                                                       ,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE
--------------------------------------------------------------------------------------------------------------------------------,--------------------------------------------------------------------------------------------------------------------------------,--------------------------------------------------------------------------------------------------------------------------------,------------------------,-----------
__EFMigrationsHistory                                                                                                           ,MigrationId                                                                                                                     ,nvarchar                                                                                                                        ,                     150,NO         
__EFMigrationsHistory                                                                                                           ,ProductVersion                                                                                                                  ,nvarchar                                                                                                                        ,                      32,NO         
Contracts                                                                                                                       ,Id                                                                                                                              ,int                                                                                                                             ,                    NULL,NO         
Contracts                                                                                                                       ,Name                                                                                                                            ,nvarchar                                                                                                                        ,                      50,NO         
Contracts                                                                                                                       ,KevId                                                                                                                           ,nvarchar                                                                                                                        ,                      50,NO         
Contracts                                                                                                                       ,PlayerCount                                                                                                                     ,int                                                                                                                             ,                    NULL,NO         
Contracts                                                                                                                       ,PublishDate                                                                                                                     ,datetime                                                                                                                        ,                    NULL,NO         
Contracts                                                                                                                       ,Description                                                                                                                     ,nvarchar                                                                                                                        ,                      -1,NO         
Contracts                                                                                                                       ,SeasonId                                                                                                                        ,nvarchar                                                                                                                        ,                      50,YES        
Contracts                                                                                                                       ,MinutesPerToken                                                                                                                 ,real                                                                                                                            ,                    NULL,NO         
Contracts                                                                                                                       ,StartTime                                                                                                                       ,datetime                                                                                                                        ,                    NULL,NO         
Contracts                                                                                                                       ,EndTime                                                                                                                         ,datetime                                                                                                                        ,                    NULL,NO         
Contracts                                                                                                                       ,LengthSeconds                                                                                                                   ,int                                                                                                                             ,                    NULL,YES        
Contracts                                                                                                                       ,HasProphecyEggReward                                                                                                            ,bit                                                                                                                             ,                    NULL,NO         
Contracts                                                                                                                       ,HasArtifactCaseReward                                                                                                           ,bit                                                                                                                             ,                    NULL,NO         
Events                                                                                                                          ,Id                                                                                                                              ,int                                                                                                                             ,                    NULL,NO         
Events                                                                                                                          ,EventId                                                                                                                         ,nvarchar                                                                                                                        ,                      50,NO         
Events                                                                                                                          ,SecondsRemaining                                                                                                                ,int                                                                                                                             ,                    NULL,NO         
Events                                                                                                                          ,EventType                                                                                                                       ,nvarchar                                                                                                                        ,                      50,NO         
Events                                                                                                                          ,Multiplier                                                                                                                      ,real                                                                                                                            ,                    NULL,NO         
Events                                                                                                                          ,SubTitle                                                                                                                        ,nvarchar                                                                                                                        ,                      50,NO         
Events                                                                                                                          ,StartTime                                                                                                                       ,datetime                                                                                                                        ,                    NULL,NO         
Events                                                                                                                          ,DurationInSeconds                                                                                                               ,int                                                                                                                             ,                    NULL,NO         
Events                                                                                                                          ,EndTime                                                                                                                         ,datetime                                                                                                                        ,                    NULL,YES        
Goals                                                                                                                           ,Id                                                                                                                              ,int                                                                                                                             ,                    NULL,NO         
Goals                                                                                                                           ,PlayerName                                                                                                                      ,nvarchar                                                                                                                        ,                      -1,NO         
Goals                                                                                                                           ,SEGoal                                                                                                                          ,nvarchar                                                                                                                        ,                      -1,NO         
Goals                                                                                                                           ,EBGOal                                                                                                                          ,nvarchar                                                                                                                        ,                      -1,NO         
Goals                                                                                                                           ,MERGoal                                                                                                                         ,nvarchar                                                                                                                        ,                      -1,NO         
Goals                                                                                                                           ,JERGoal                                                                                                                         ,nvarchar                                                                                                                        ,                      -1,NO         
Goals                                                                                                                           ,WeeklySEGainGoal                                                                                                                ,nvarchar                                                                                                                        ,                      -1,NO         
Goals                                                                                                                           ,DailyPrestigeGoal                                                                                                               ,int                                                                                                                             ,                    NULL,NO         
MajPlayerRankings                                                                                                               ,Id                                                                                                                              ,int                                                                                                                             ,                    NULL,NO         
MajPlayerRankings                                                                                                               ,Ranking                                                                                                                         ,int                                                                                                                             ,                    NULL,NO         
